title,date,link,search_term,page,year
"
                                        Precision measurement of cardiac structure and function in cardiovascular magnetic resonance using machine learning
                                        
                                    ",2022-03-10,https://link.springer.com/article/10.1186/s12968-022-00846-4,machine learning,1,2022
"
                                        A deep learning approach for fully automated cardiac shape modeling in tetralogy of Fallot
                                        
                                    ",2023-02-27,https://link.springer.com/article/10.1186/s12968-023-00924-1,machine learning,1,2023
"
                                        Radiomics and deep learning for myocardial scar screening in hypertrophic cardiomyopathy
                                        
                                    ",2022-06-27,https://link.springer.com/article/10.1186/s12968-022-00869-x,machine learning,1,2022
"
                                        Highlights of the Virtual Society for Cardiovascular Magnetic Resonance 2022 Scientific Conference: CMR: improving cardiovascular care around the world
                                        
                                    ",2022-06-20,https://link.springer.com/article/10.1186/s12968-022-00870-4,machine learning,1,2022
"
                                        Deep learning to diagnose cardiac amyloidosis from cardiovascular magnetic resonance
                                        
                                    ",2020-12-07,https://link.springer.com/article/10.1186/s12968-020-00690-4,machine learning,1,2020
"
                                        Machine learning in cardiovascular magnetic resonance: basic concepts and applications
                                        
                                    ",2019-10-07,https://link.springer.com/article/10.1186/s12968-019-0575-y,machine learning,1,2019
"
                                        Automatic segmentation of the great arteries for computational hemodynamic assessment
                                        
                                    ",2022-11-07,https://link.springer.com/article/10.1186/s12968-022-00891-z,machine learning,1,2022
"
                                        Accelerated cardiac T1 mapping in four heartbeats with inline MyoMapNet: a deep learning-based T1 estimation approach
                                        
                                    ",2022-01-06,https://link.springer.com/article/10.1186/s12968-021-00834-0,machine learning,1,2022
"
                                        Fully-automated global and segmental strain analysis of DENSE cardiovascular magnetic resonance using deep learning for segmentation and phase unwrapping
                                        
                                    ",2021-03-11,https://link.springer.com/article/10.1186/s12968-021-00712-9,machine learning,1,2021
"
                                        Machine learning derived segmentation of phase velocity encoded cardiovascular magnetic resonance for fully automated aortic flow quantification
                                        
                                    ",2019-01-07,https://link.springer.com/article/10.1186/s12968-018-0509-0,machine learning,1,2019
"
                                        Training and clinical testing of artificial intelligence derived right atrial cardiovascular magnetic resonance measurements
                                        
                                    ",2022-04-07,https://link.springer.com/article/10.1186/s12968-022-00855-3,machine learning,1,2022
"
                                        Fully‑automated deep‑learning segmentation of pediatric cardiovascular magnetic resonance of patients with complex congenital heart diseases
                                        
                                    ",2020-11-30,https://link.springer.com/article/10.1186/s12968-020-00678-0,machine learning,1,2020
"
                                        Assessment of right ventricular size and function from cardiovascular magnetic resonance images using artificial intelligence
                                        
                                    ",2022-04-11,https://link.springer.com/article/10.1186/s12968-022-00861-5,machine learning,1,2022
"
                                        4D Flow cardiovascular magnetic resonance consensus statement: 2023 update
                                        
                                    ",2023-07-20,https://link.springer.com/article/10.1186/s12968-023-00942-z,machine learning,1,2023
"
                                        Localized strain characterization of cardiomyopathy in Duchenne muscular dystrophy using novel 4D kinematic analysis of cine cardiovascular magnetic resonance
                                        
                                    ",2023-02-16,https://link.springer.com/article/10.1186/s12968-023-00922-3,machine learning,1,2023
"
                                        Le Cœur en Sabot: shape associations with adverse events in repaired tetralogy of Fallot
                                        
                                    ",2022-08-04,https://link.springer.com/article/10.1186/s12968-022-00877-x,machine learning,1,2022
"
                                        2021–2022 state of our JCMR
                                        
                                    ",2022-12-31,https://link.springer.com/article/10.1186/s12968-022-00909-6,machine learning,1,2022
"
                                        Technical development and feasibility of a reusable vest to integrate cardiovascular magnetic resonance with electrocardiographic imaging
                                        
                                    ",2023-12-04,https://link.springer.com/article/10.1186/s12968-023-00980-7,machine learning,1,2023
"
                                        Interventional cardiovascular magnetic resonance: state-of-the-art
                                        
                                    ",2023-08-14,https://link.springer.com/article/10.1186/s12968-023-00956-7,machine learning,1,2023
"
                                        Quantitative susceptibility mapping (QSM) of the cardiovascular system: challenges and perspectives
                                        
                                    ",2022-08-18,https://link.springer.com/article/10.1186/s12968-022-00883-z,machine learning,1,2022
"
                                        Rapid whole-heart CMR with single volume super-resolution
                                        
                                    ",2020-08-03,https://link.springer.com/article/10.1186/s12968-020-00651-x,machine learning,2,2020
"
                                        Highlights of the 2020 23rd Society for Cardiovascular Magnetic Resonance Scientific Sessions
                                        
                                    ",2020-10-29,https://link.springer.com/article/10.1186/s12968-020-00672-6,machine learning,2,2020
"
                                        Reference ranges (“normal values”) for cardiovascular magnetic resonance (CMR) in adults and children: 2020 update
                                        
                                    ",2020-12-14,https://link.springer.com/article/10.1186/s12968-020-00683-3,machine learning,2,2020
"
                                        Quantification correction for free-breathing myocardial T1ρ mapping in mice using a recursively derived description of a T1ρ* relaxation pathway
                                        
                                    ",2022-05-09,https://link.springer.com/article/10.1186/s12968-022-00864-2,machine learning,2,2022
"
                                        Simultaneous measurements of 3D wall shear stress and pulse wave velocity in the murine aortic arch
                                        
                                    ",2021-03-18,https://link.springer.com/article/10.1186/s12968-021-00725-4,machine learning,2,2021
"
                                        Right-left ventricular shape variations in tetralogy of Fallot: associations with pulmonary regurgitation
                                        
                                    ",2021-10-07,https://link.springer.com/article/10.1186/s12968-021-00780-x,machine learning,2,2021
"
                                        Incremental value of left atrial booster and reservoir strain in predicting atrial fibrillation in patients with hypertrophic cardiomyopathy: a cardiovascular magnetic resonance study
                                        
                                    ",2021-10-11,https://link.springer.com/article/10.1186/s12968-021-00793-6,machine learning,2,2021
"
                                        Influence of the arterial input sampling location on the diagnostic accuracy of cardiovascular magnetic resonance stress myocardial perfusion quantification
                                        
                                    ",2021-03-29,https://link.springer.com/article/10.1186/s12968-021-00733-4,machine learning,2,2021
"
                                        Quantification of regurgitation in mitral valve prolapse with four-dimensional flow cardiovascular magnetic resonance
                                        
                                    ",2021-07-08,https://link.springer.com/article/10.1186/s12968-021-00783-8,machine learning,2,2021
"
                                        2020 - State of our JCMR
                                        
                                    ",2021-01-12,https://link.springer.com/article/10.1186/s12968-020-00704-1,machine learning,2,2021
"
                                        Sub-segmental quantification of single (stress)-pass perfusion CMR improves the diagnostic accuracy for detection of obstructive coronary artery disease
                                        
                                    ",2020-02-06,https://link.springer.com/article/10.1186/s12968-020-0600-1,machine learning,2,2020
